,expression,gene_name
ENSFHEG00000012294,9.639753601,NA
ENSFHEG00000013510,9.469047877,NA
ENSFHEG00000009231,9.280234133,NA
ENSFHEG00000017456,8.736212005,NA
ENSFHEG00000003293,8.557034561,NA
ENSFHEG00000009823,8.519577815,uchl1
ENSFHEG00000012277,8.101132619,NA
ENSFHEG00000003544,7.865140882,tdrkh
ENSFHEG00000023008,7.798165009,NA
ENSFHEG00000007932,7.736734021,NA
ENSFHEG00000000626,7.582189778,fabp7b
ENSFHEG00000015691,7.555055613,knstrn
ENSFHEG00000009196,7.550657288,gprc6a
ENSFHEG00000009514,7.368980404,dnph1
ENSFHEG00000019924,7.288219752,NA
ENSFHEG00000009502,7.161204624,NA